time,close,100-SR3U2027 · CME: close,100-SR3M2027 · CME: close,100-SR3H2027 · CME: close,100-SR3Z2026 · CME: close,100-SR3X2026 · CME: close,100-SR3V2026 · CME: close,100-SR3U2026 · CME: close,100-SR3Q2026 · CME: close,100-SR3N2026 · CME: close
2025-04-14,3.2750000000000057,3.4599999999999937,3.3900000000000006,3.319999999999993,3.269999999999996,,,3.2549999999999955,,
2025-04-15,3.2650000000000006,3.430000000000007,3.3599999999999994,3.2950000000000017,3.25,,,3.2349999999999994,,
2025-04-16,3.200000000000003,3.355000000000004,3.2900000000000063,3.2249999999999943,3.180000000000007,,,3.1650000000000063,,
2025-04-17,3.1899999999999977,3.364999999999995,3.2950000000000017,3.2249999999999943,3.174999999999997,,,3.155000000000001,,
2025-04-21,3.0999999999999943,3.355000000000004,3.269999999999996,3.180000000000007,3.1099999999999994,,,3.075000000000003,,
2025-04-22,3.1850000000000023,3.385000000000005,3.3100000000000023,3.2349999999999994,3.180000000000007,,,3.155000000000001,,
2025-04-23,3.2750000000000057,3.444999999999993,3.385000000000005,3.319999999999993,3.269999999999996,,,3.25,,
2025-04-24,3.194999999999993,3.3599999999999994,3.2950000000000017,3.230000000000004,3.180000000000007,,,3.1599999999999966,,
2025-04-25,3.1599999999999966,3.3149999999999977,3.25,3.1899999999999977,3.144999999999996,,,3.125,,
2025-04-28,3.0600000000000023,3.2349999999999994,3.1599999999999966,3.0900000000000034,3.0349999999999966,,,3.0150000000000006,,
2025-04-29,3.0150000000000006,3.194999999999993,3.1200000000000045,3.0450000000000017,2.9950000000000045,,,2.9749999999999943,,
2025-04-30,2.9749999999999943,3.155000000000001,3.0799999999999983,3.010000000000005,2.9599999999999937,,,2.9399999999999977,,
2025-05-01,3.0849999999999937,3.2150000000000034,3.1500000000000057,3.0900000000000034,3.055000000000007,,,3.0450000000000017,,
2025-05-02,3.2549999999999955,3.344999999999999,3.2849999999999966,3.2349999999999994,3.2049999999999983,,,3.2049999999999983,,
2025-05-05,3.25,3.3400000000000034,3.2750000000000057,3.219999999999999,3.1899999999999977,,,3.1899999999999977,,
2025-05-06,3.1850000000000023,3.2849999999999966,3.219999999999999,3.1599999999999966,3.125,,,3.125,,
2025-05-07,3.180000000000007,3.2650000000000006,3.2049999999999983,3.144999999999996,3.1099999999999994,,,3.114999999999995,,
2025-05-08,3.3400000000000034,3.4200000000000017,3.3599999999999994,3.305000000000007,3.269999999999996,,,3.2750000000000057,,
2025-05-09,3.3299999999999983,3.4150000000000063,3.355000000000004,3.2950000000000017,3.2549999999999955,,,3.260000000000005,,
