time,close,US02Y · TVC: close
2025-04-10,4.425,3.862
2025-04-10,4.425,3.862
2025-04-11,4.497,3.975
2025-04-11,4.497,3.975
2025-04-14,4.384,3.853
2025-04-14,4.384,3.853
2025-04-15,4.339,3.851
2025-04-15,4.339,3.851
2025-04-16,4.281,3.776
2025-04-16,4.281,3.776
2025-04-17,4.333,3.8
2025-04-17,4.333,3.8
2025-04-21,4.417,3.769
2025-04-21,4.417,3.769
2025-04-22,4.401,3.821
2025-04-22,4.401,3.821
2025-04-23,4.385,3.869
2025-04-23,4.385,3.869
2025-04-24,4.315,3.793
2025-04-24,4.315,3.793
2025-04-25,4.255,3.756
2025-04-25,4.255,3.756
2025-04-28,4.206,3.689
2025-04-28,4.206,3.689
2025-04-29,4.172,3.656
2025-04-29,4.172,3.656
2025-04-30,4.168,3.613
2025-04-30,4.168,3.613
2025-05-01,4.216,3.697
2025-05-01,4.216,3.697
2025-05-02,4.308,3.822
2025-05-02,4.308,3.822
2025-05-05,4.349,3.841
2025-05-05,4.349,3.841
2025-05-06,4.298,3.785
2025-05-06,4.298,3.785
2025-05-07,4.269,3.783
2025-05-07,4.269,3.783
2025-05-08,4.38,3.88
2025-05-08,4.38,3.88
2025-05-09,4.382,3.889
2025-05-09,4.382,3.889
2025-05-12,4.473,4.012
2025-05-12,4.473,4.012
2025-05-13,4.471,4.002
2025-05-13,4.471,4.002
2025-05-14,4.542,4.059
2025-05-14,4.542,4.059
2025-05-15,4.431,3.954
2025-05-15,4.431,3.954
2025-05-16,4.445,3.993
2025-05-16,4.445,3.993
2025-05-19,4.449,3.972
2025-05-19,4.449,3.972
2025-05-20,4.485,3.97
2025-05-20,4.485,3.97
2025-05-21,4.597,4.022
2025-05-21,4.597,4.022
2025-05-22,4.529,3.99
2025-05-22,4.529,3.99
2025-05-23,4.509,3.993
2025-05-23,4.509,3.993
2025-05-27,4.448,3.977
2025-05-27,4.448,3.977
2025-05-28,4.475,3.992
2025-05-28,4.475,3.992
2025-05-29,4.426,3.939
2025-05-29,4.426,3.939
2025-05-30,4.398,3.9
2025-05-30,4.398,3.9
2025-06-02,4.442,3.939
2025-06-02,4.442,3.939
2025-06-03,4.458,3.957
2025-06-03,4.458,3.957
2025-06-04,4.357,3.869
2025-06-04,4.357,3.869
2025-06-05,4.391,3.92
2025-06-05,4.391,3.92
2025-06-06,4.508,4.037
2025-06-06,4.508,4.037
2025-06-09,4.476,4.005
2025-06-09,4.476,4.005
2025-06-10,4.474,4.024
2025-06-10,4.474,4.024
2025-06-11,4.42,3.951
2025-06-11,4.42,3.951
2025-06-12,4.365,3.912
2025-06-12,4.365,3.912
2025-06-13,4.409,3.95
2025-06-13,4.409,3.95
2025-06-16,4.45,3.973
2025-06-16,4.45,3.973
2025-06-17,4.387,3.946
2025-06-17,4.387,3.946
2025-06-18,4.391,3.939
2025-06-18,4.391,3.939
2025-06-20,4.377,3.906
2025-06-20,4.377,3.906
2025-06-23,4.342,3.863
2025-06-23,4.342,3.863
2025-06-24,4.296,3.821
2025-06-24,4.296,3.821
2025-06-25,4.291,3.781
2025-06-25,4.291,3.781
2025-06-26,4.246,3.719
2025-06-26,4.246,3.719
2025-06-27,4.275,3.746
2025-06-27,4.275,3.746
2025-06-30,4.232,3.727
2025-06-30,4.232,3.727
2025-07-01,4.242,3.772
2025-07-01,4.242,3.772
2025-07-02,4.283,3.791
2025-07-02,4.283,3.791
2025-07-03,4.348,3.886
2025-07-03,4.348,3.886
2025-07-07,4.383,3.897
2025-07-07,4.383,3.897
2025-07-08,4.403,3.897
2025-07-08,4.403,3.897
2025-07-09,4.336,3.849
2025-07-09,4.336,3.849
2025-07-10,4.35,3.872
2025-07-10,4.35,3.872
2025-07-11,4.417,3.893
2025-07-11,4.417,3.893
2025-07-14,4.437,3.904
2025-07-14,4.437,3.904
2025-07-15,4.491,3.954
2025-07-15,4.491,3.954
2025-07-16,4.459,3.894
2025-07-16,4.459,3.894
2025-07-17,4.455,3.907
2025-07-17,4.455,3.907
2025-07-18,4.42,3.869
2025-07-18,4.42,3.869
2025-07-21,4.38,3.861
2025-07-21,4.38,3.861
2025-07-22,4.348,3.833
2025-07-22,4.348,3.833
2025-07-23,4.384,3.884
2025-07-23,4.384,3.884
2025-07-24,4.4,3.916
2025-07-24,4.4,3.916
2025-07-25,4.386,3.921
2025-07-25,4.386,3.921
2025-07-28,4.414,3.93
2025-07-28,4.414,3.93
2025-07-29,4.324,3.869
