datetime,open,high,low,close,volume,position
2023-08-14,94.69,94.69,94.69,94.69,0,0
2023-08-15,94.71,94.71,94.71,94.71,0,0
2023-08-16,94.69,94.69,94.69,94.69,0,0
2023-08-17,94.7,94.7,94.7,94.7,0,0
2023-08-18,94.715,94.715,94.715,94.715,0,0
2023-08-21,94.715,94.715,94.665,94.675,2,0
2023-08-22,94.645,94.645,94.645,94.645,0,0
2023-08-23,94.67,94.68,94.65,94.68,1010,1005
2023-08-24,94.64,94.64,94.64,94.64,0,1005
2023-08-25,94.59,94.59,94.59,94.59,0,1005
2023-08-28,94.58,94.58,94.58,94.58,0,1005
2023-08-29,94.65,94.65,94.65,94.65,0,1005
2023-08-30,94.665,94.665,94.665,94.665,0,1005
2023-08-31,94.695,94.695,94.695,94.695,0,1005
2023-09-01,94.7,94.7,94.7,94.7,0,1005
2023-09-05,94.69,94.69,94.635,94.635,13,1005
2023-09-06,94.615,94.615,94.615,94.615,0,1005
2023-09-07,94.63,94.635,94.63,94.635,21,1005
2023-09-08,94.63,94.63,94.63,94.63,0,1005
2023-09-11,94.615,94.615,94.615,94.615,0,1005
2023-09-12,94.62,94.62,94.62,94.62,0,1005
2023-09-13,94.565,94.615,94.56,94.615,10,1005
2023-09-14,94.615,94.615,94.615,94.615,0,1005
2023-09-15,94.6,94.6,94.59,94.6,39,1005
2023-09-18,94.585,94.585,94.585,94.585,5,1000
2023-09-19,94.57,94.57,94.57,94.57,0,1000
2023-09-20,94.52,94.55,94.52,94.55,16,1000
2023-09-21,94.55,94.55,94.55,94.55,0,1000
2023-09-22,94.56,94.56,94.56,94.56,0,1000
2023-09-25,94.56,94.56,94.56,94.56,0,1000
2023-09-26,94.565,94.57,94.565,94.57,9,1000
2023-09-27,94.525,94.535,94.525,94.535,25,1000
2023-09-28,94.565,94.565,94.565,94.565,0,1000
2023-09-29,94.575,94.575,94.575,94.575,22,1000
2023-10-02,94.54,94.54,94.54,94.54,0,1000
2023-10-03,94.53,94.54,94.53,94.535,5,1000
2023-10-04,94.595,94.6,94.595,94.6,71,1000
2023-10-05,94.615,94.615,94.615,94.615,0,1000
2023-10-06,94.585,94.585,94.575,94.575,99,1000
2023-10-09,94.645,94.645,94.645,94.645,0,1000
2023-10-10,94.63,94.64,94.63,94.64,1,1000
2023-10-11,94.63,94.63,94.63,94.63,0,1000
2023-10-12,94.615,94.615,94.59,94.59,5,1005
2023-10-13,94.595,94.61,94.595,94.605,44,1005
2023-10-16,94.59,94.59,94.59,94.59,0,1005
2023-10-17,94.53,94.53,94.53,94.53,0,1005
2023-10-18,94.53,94.535,94.53,94.535,30,1005
2023-10-19,94.57,94.57,94.57,94.57,0,1005
2023-10-20,94.605,94.605,94.6,94.6,25,1005
2023-10-23,94.59,94.59,94.59,94.59,0,1005
2023-10-24,94.585,94.585,94.585,94.585,0,1005
2023-10-25,94.58,94.58,94.58,94.58,0,1005
2023-10-26,94.575,94.6,94.575,94.6,230,1005
2023-10-27,94.61,94.61,94.61,94.61,23,1005
2023-10-30,94.595,94.595,94.595,94.595,0,1005
2023-10-31,94.585,94.585,94.575,94.575,82,1000
2023-11-01,94.605,94.605,94.605,94.605,0,1000
2023-11-02,94.61,94.61,94.61,94.61,0,1000
2023-11-03,94.675,94.675,94.675,94.675,0,1000
2023-11-06,94.665,94.665,94.665,94.665,0,1000
2023-11-07,94.67,94.67,94.67,94.67,0,1000
2023-11-08,94.655,94.655,94.655,94.655,1,1001
2023-11-09,94.645,94.645,94.615,94.615,4,1001
2023-11-10,94.62,94.62,94.61,94.61,20,1001
2023-11-13,94.595,94.595,94.59,94.595,27,1021
2023-11-14,94.705,94.705,94.705,94.705,173,1061
2023-11-15,94.695,94.695,94.67,94.68,201,1261
2023-11-16,94.705,94.705,94.69,94.69,50,1311
2023-11-17,94.685,94.685,94.685,94.685,0,1311
2023-11-20,94.68,94.68,94.68,94.68,0,1311
2023-11-21,94.675,94.675,94.675,94.675,45,1311
2023-11-22,94.68,94.68,94.66,94.66,81,1311
2023-11-24,94.65,94.65,94.65,94.65,0,1311
2023-11-27,94.65,94.655,94.65,94.655,90,1311
2023-11-28,94.68,94.68,94.68,94.68,40,1326
2023-11-29,94.75,94.75,94.725,94.725,14,1317
2023-11-30,94.72,94.73,94.72,94.72,59,1272
