datetime,open,high,low,close,volume,position
2024-02-16,95.16,95.16,95.16,95.16,0,0
2024-02-20,95.18,95.18,95.18,95.18,0,0
2024-02-21,95.15,95.15,95.15,95.15,0,0
2024-02-22,95.105,95.105,95.105,95.105,0,0
2024-02-23,95.105,95.105,95.105,95.105,0,0
2024-02-26,95.065,95.065,95.065,95.065,0,0
2024-02-27,95.055,95.055,95.055,95.055,0,0
2024-02-28,95.09,95.09,95.09,95.09,0,0
2024-02-29,95.09,95.09,95.09,95.09,0,0
2024-03-01,95.165,95.165,95.165,95.165,0,0
2024-03-04,95.11,95.11,95.11,95.11,0,0
2024-03-05,95.14,95.14,95.14,95.14,0,0
2024-03-06,95.135,95.135,95.135,95.135,0,0
2024-03-07,95.17,95.17,95.17,95.17,0,0
2024-03-08,95.175,95.175,95.175,95.175,0,0
2024-03-11,95.16,95.165,95.155,95.155,17,17
2024-03-12,95.155,95.155,95.12,95.12,140,157
2024-03-13,95.095,95.095,95.095,95.095,0,157
2024-03-14,95.06,95.06,95.06,95.06,0,157
2024-03-15,95.04,95.04,95.04,95.04,0,157
2024-03-18,95.02,95.02,95.02,95.02,0,157
2024-03-19,95.035,95.035,95.035,95.035,22,179
2024-03-20,95.1,95.1,95.1,95.1,0,179
2024-03-21,95.085,95.085,95.085,95.085,0,179
2024-03-22,95.11,95.11,95.11,95.11,0,179
2024-03-25,95.09,95.09,95.09,95.09,0,179
2024-03-26,95.085,95.085,95.085,95.085,0,179
2024-03-27,95.085,95.085,95.085,95.085,0,179
2024-03-28,95.05,95.05,95.05,95.05,0,179
2024-04-01,94.96,94.985,94.96,94.985,2,177
2024-04-02,95.01,95.01,95.01,95.01,0,177
2024-04-03,95.01,95.01,95.01,95.01,0,177
2024-04-04,95.055,95.055,95.055,95.055,0,177
2024-04-05,95.005,95.005,95.005,95.005,0,177
2024-04-08,94.98,94.98,94.98,94.98,0,177
2024-04-09,95.0,95.0,95.0,95.0,0,177
2024-04-10,94.835,94.835,94.835,94.835,0,177
2024-04-11,94.85,94.85,94.85,94.85,0,177
2024-04-12,94.885,94.885,94.885,94.885,0,177
2024-04-15,94.865,94.865,94.865,94.865,0,177
2024-04-16,94.84,94.855,94.84,94.855,30,181
2024-04-17,94.855,94.855,94.855,94.855,0,181
2024-04-18,94.835,94.835,94.835,94.835,0,181
2024-04-19,94.845,94.845,94.845,94.845,0,181
2024-04-22,94.835,94.835,94.835,94.835,0,181
2024-04-23,94.855,94.855,94.855,94.855,0,181
2024-04-24,94.845,94.845,94.845,94.845,0,181
2024-04-25,94.805,94.805,94.805,94.805,0,181
2024-04-26,94.8,94.8,94.8,94.8,0,181
2024-04-29,94.8,94.8,94.79,94.79,33,179
2024-04-30,94.765,94.765,94.765,94.765,0,179
