datetime,open,high,low,close,volume,position
2018-05-07,97.685,97.69,97.685,97.69,55,50
2018-05-08,97.685,97.685,97.68,97.685,205,230
2018-05-09,97.68,97.68,97.675,97.68,81,156
2018-05-10,97.675,97.675,97.655,97.66,494,275
2018-05-11,97.65,97.65,97.64,97.64,76,326
2018-05-14,97.63,97.645,97.63,97.645,223,197
2018-05-15,97.625,97.635,97.625,97.635,530,538
2018-05-16,97.635,97.64,97.625,97.635,384,348
2018-05-17,97.645,97.645,97.635,97.635,56,313
2018-05-18,97.645,97.65,97.645,97.645,278,246
2018-05-21,97.635,97.635,97.635,97.635,0,246
2018-05-22,97.645,97.645,97.645,97.645,0,246
2018-05-23,97.67,97.71,97.67,97.695,69,210
2018-05-24,97.71,97.735,97.71,97.71,616,249
2018-05-25,97.73,97.735,97.72,97.73,83,237
2018-05-29,97.755,97.87,97.755,97.865,622,399
2018-05-30,97.8,97.82,97.785,97.79,392,322
2018-05-31,97.77,97.79,97.77,97.785,777,596
2018-06-01,97.75,97.75,97.7,97.725,635,368
2018-06-04,97.695,97.7,97.685,97.7,54,344
2018-06-05,97.695,97.705,97.69,97.705,73,320
2018-06-06,97.68,97.685,97.67,97.685,42,325
2018-06-07,97.675,97.725,97.675,97.685,58,321
2018-06-08,97.71,97.725,97.705,97.705,20,311
2018-06-11,97.69,97.69,97.69,97.69,3,311
2018-06-12,97.685,97.71,97.68,97.69,47,335
2018-06-13,97.685,97.69,97.66,97.66,33,321
2018-06-14,97.67,97.67,97.67,97.67,11,310
2018-06-15,97.69,97.705,97.685,97.685,13,309
2018-06-18,97.685,97.685,97.685,97.685,0,309
2018-06-19,97.695,97.71,97.69,97.69,148,285
2018-06-20,97.69,97.71,97.685,97.685,125,360
2018-06-21,97.685,97.7,97.685,97.695,88,384
2018-06-22,97.695,97.72,97.695,97.695,28,383
2018-06-25,97.705,97.705,97.7,97.7,31,399
2018-06-26,97.71,97.73,97.71,97.72,292,383
2018-06-27,97.74,97.765,97.74,97.74,208,317
2018-06-28,97.75,97.75,97.745,97.745,38,317
2018-06-29,97.75,97.75,97.745,97.745,38,303
2018-07-02,97.75,97.75,97.745,97.745,30,293
2018-07-03,97.76,97.765,97.76,97.76,300,313
2018-07-05,97.735,97.74,97.735,97.74,20,313
2018-07-06,97.755,97.76,97.75,97.75,58,323
2018-07-09,97.735,97.735,97.735,97.735,1028,1324
2018-07-10,97.725,97.725,97.72,97.72,93,1360
2018-07-11,97.71,97.72,97.71,97.72,83,1360
2018-07-12,97.7,97.705,97.7,97.705,1180,2287
2018-07-13,97.7,97.7,97.695,97.7,570,2352
2018-07-16,97.685,97.69,97.685,97.69,548,2300
2018-07-17,97.68,97.68,97.66,97.665,760,2306
2018-07-18,97.665,97.665,97.655,97.66,393,2356
2018-07-19,97.655,97.665,97.655,97.665,195,2320
2018-07-20,97.665,97.665,97.66,97.665,458,2314
2018-07-23,97.66,97.66,97.655,97.655,127,2360
2018-07-24,97.66,97.66,97.645,97.645,1187,2085
2018-07-25,97.65,97.65,97.64,97.645,721,2050
2018-07-26,97.64,97.65,97.625,97.64,867,2249
2018-07-27,97.645,97.645,97.64,97.645,175,2325
2018-07-30,97.64,97.645,97.64,97.645,140,2342
2018-07-31,97.64,97.64,97.63,97.64,765,2485
2018-08-01,97.63,97.64,97.63,97.635,126,2488
2018-08-02,97.645,97.65,97.645,97.645,103,2533
