datetime,open,high,low,close,volume,position
2018-05-07,97.575,97.575,97.55,97.56,356,56
2018-05-08,97.555,97.555,97.545,97.55,77,54
2018-05-09,97.535,97.535,97.535,97.535,50,26
2018-05-10,97.535,97.535,97.515,97.515,208,206
2018-05-11,97.505,97.505,97.5,97.5,25,206
2018-05-14,97.485,97.505,97.485,97.5,202,315
2018-05-15,97.48,97.48,97.475,97.48,711,498
2018-05-16,97.475,97.485,97.47,97.48,542,227
2018-05-17,97.485,97.485,97.48,97.48,39,247
2018-05-18,97.49,97.505,97.49,97.495,701,463
2018-05-21,97.485,97.485,97.485,97.485,0,463
2018-05-22,97.495,97.495,97.495,97.495,0,463
2018-05-23,97.51,97.56,97.51,97.545,428,285
2018-05-24,97.575,97.585,97.575,97.575,132,307
2018-05-25,97.585,97.63,97.585,97.6,662,346
2018-05-29,97.65,97.78,97.65,97.78,489,290
2018-05-30,97.715,97.72,97.675,97.69,950,610
2018-05-31,97.655,97.685,97.655,97.685,209,589
2018-06-01,97.675,97.675,97.57,97.615,309,587
2018-06-04,97.58,97.58,97.54,97.56,310,742
2018-06-05,97.58,97.58,97.555,97.57,178,753
2018-06-06,97.55,97.55,97.53,97.54,207,753
2018-06-07,97.53,97.575,97.525,97.545,400,740
2018-06-08,97.55,97.59,97.55,97.56,590,674
2018-06-11,97.545,97.55,97.545,97.545,813,919
2018-06-12,97.535,97.54,97.515,97.535,317,1049
2018-06-13,97.535,97.535,97.505,97.505,89,998
2018-06-14,97.505,97.505,97.5,97.505,51,979
2018-06-15,97.525,97.535,97.485,97.52,226,880
2018-06-18,97.52,97.52,97.52,97.52,0,880
2018-06-19,97.555,97.56,97.54,97.54,167,778
2018-06-20,97.535,97.535,97.52,97.535,156,765
2018-06-21,97.54,97.545,97.54,97.545,25,753
2018-06-22,97.54,97.545,97.54,97.545,35,754
2018-06-25,97.565,97.565,97.565,97.565,30,732
2018-06-26,97.585,97.595,97.58,97.58,170,644
2018-06-27,97.6,97.635,97.6,97.61,137,639
2018-06-28,97.615,97.615,97.6,97.61,65,616
2018-06-29,97.61,97.615,97.61,97.61,123,639
2018-07-02,97.62,97.62,97.61,97.61,35,654
2018-07-03,97.62,97.62,97.62,97.62,105,649
2018-07-05,97.615,97.615,97.595,97.6,81,644
2018-07-06,97.625,97.625,97.615,97.615,163,663
2018-07-09,97.6,97.6,97.585,97.595,1220,1728
2018-07-10,97.585,97.585,97.58,97.58,111,1719
2018-07-11,97.585,97.585,97.57,97.58,89,1691
2018-07-12,97.565,97.565,97.56,97.565,75,1699
2018-07-13,97.565,97.565,97.56,97.56,32,1720
2018-07-16,97.545,97.545,97.54,97.545,105,1710
2018-07-17,97.535,97.535,97.515,97.52,40,1727
2018-07-18,97.52,97.52,97.505,97.515,528,1501
2018-07-19,97.505,97.52,97.505,97.515,204,1539
2018-07-20,97.515,97.515,97.51,97.515,56,1554
2018-07-23,97.505,97.505,97.49,97.495,138,1538
2018-07-24,97.485,97.49,97.485,97.49,725,1316
2018-07-25,97.495,97.495,97.485,97.49,611,1028
2018-07-26,97.485,97.49,97.47,97.47,419,878
2018-07-27,97.48,97.48,97.475,97.475,81,898
2018-07-30,97.475,97.48,97.475,97.48,141,927
2018-07-31,97.48,97.48,97.47,97.475,757,915
2018-08-01,97.47,97.47,97.47,97.47,161,866
2018-08-02,97.485,97.485,97.475,97.475,916,812
2018-08-03,97.475,97.485,97.475,97.485,116,838
2018-08-06,97.485,97.495,97.485,97.49,24,827
2018-08-07,97.485,97.49,97.485,97.49,255,799
2018-08-08,97.49,97.495,97.49,97.495,187,764
2018-08-09,97.495,97.505,97.49,97.505,914,734
2018-08-10,97.515,97.555,97.515,97.555,531,690
2018-08-13,97.525,97.545,97.525,97.545,216,792
2018-08-14,97.54,97.54,97.52,97.52,170,731
2018-08-15,97.525,97.555,97.525,97.545,361,725
2018-08-16,97.53,97.535,97.525,97.535,516,818
2018-08-17,97.545,97.555,97.54,97.54,796,849
2018-08-20,97.55,97.56,97.55,97.56,1178,875
2018-08-21,97.55,97.55,97.545,97.55,598,906
2018-08-22,97.565,97.565,97.55,97.555,854,869
2018-08-23,97.55,97.55,97.53,97.535,693,875
2018-08-24,97.51,97.53,97.51,97.525,1419,880
2018-08-27,97.51,97.51,97.505,97.505,376,843
2018-08-28,97.49,97.49,97.49,97.49,2666,871
2018-08-29,97.475,97.48,97.475,97.48,763,968
2018-08-30,97.495,97.495,97.49,97.49,1114,905
2018-08-31,97.505,97.51,97.505,97.505,520,851
