datetime,open,high,low,close,volume,position
2022-08-12,96.57,96.57,96.57,96.57,0,0
2022-08-15,96.58,96.58,96.58,96.58,0,0
2022-08-16,96.565,96.565,96.565,96.565,0,0
2022-08-17,96.55,96.55,96.55,96.55,0,0
2022-08-18,96.55,96.55,96.55,96.55,0,0
2022-08-19,96.545,96.545,96.545,96.545,0,0
2022-08-22,96.495,96.495,96.495,96.495,0,0
2022-08-23,96.5,96.5,96.5,96.5,0,0
2022-08-24,96.465,96.465,96.465,96.465,0,0
2022-08-25,96.455,96.455,96.455,96.455,0,0
2022-08-26,96.45,96.45,96.45,96.45,0,0
2022-08-29,96.39,96.39,96.39,96.39,0,0
2022-08-30,96.37,96.37,96.37,96.37,0,0
2022-08-31,96.38,96.38,96.38,96.38,0,0
2022-09-01,96.355,96.355,96.355,96.355,0,0
2022-09-02,96.42,96.42,96.42,96.42,0,0
2022-09-06,96.33,96.33,96.33,96.33,0,0
2022-09-07,96.32,96.32,96.32,96.32,0,0
2022-09-08,96.29,96.29,96.29,96.29,0,0
2022-09-09,96.245,96.245,96.245,96.245,0,0
2022-09-12,96.235,96.235,96.235,96.235,0,0
2022-09-13,95.98,95.98,95.98,95.98,0,0
2022-09-14,95.955,95.955,95.955,95.955,0,0
2022-09-15,95.91,95.92,95.91,95.92,110,100
2022-09-16,95.93,95.965,95.93,95.965,2,100
2022-09-19,95.925,95.925,95.925,95.925,101,145
2022-09-20,95.93,95.93,95.93,95.93,0,145
2022-09-21,95.94,95.94,95.9,95.905,477,415
2022-09-22,95.875,95.875,95.875,95.875,0,415
2022-09-23,95.88,95.88,95.855,95.855,640,780
2022-09-26,95.83,95.885,95.83,95.885,295,790
2022-09-27,95.93,95.93,95.93,95.93,0,790
2022-09-28,95.945,95.985,95.945,95.97,74,761
2022-09-29,95.915,95.955,95.915,95.955,5,766
2022-09-30,95.93,95.93,95.915,95.925,321,1046
2022-10-03,95.935,95.935,95.935,95.935,0,1046
2022-10-04,95.895,95.895,95.895,95.895,0,1046
2022-10-05,95.89,95.9,95.89,95.895,164,1208
2022-10-06,95.855,95.855,95.855,95.855,0,1208
2022-10-07,95.805,95.805,95.805,95.805,0,1208
2022-10-10,95.8,95.8,95.785,95.785,119,1128
2022-10-11,95.79,95.79,95.79,95.79,0,1128
2022-10-12,95.785,95.785,95.785,95.785,0,1128
2022-10-13,95.785,95.785,95.675,95.675,29,1157
2022-10-14,95.66,95.675,95.66,95.665,2189,2945
2022-10-17,95.6825,95.685,95.67,95.67,992,3207
2022-10-18,95.6675,95.69,95.6675,95.685,733,3219
2022-10-19,95.685,95.685,95.6525,95.6525,28,3218
2022-10-20,95.6425,95.6425,95.6425,95.6425,50,3218
2022-10-21,95.725,95.7275,95.725,95.7275,1,3217
2022-10-24,95.7025,95.7025,95.7025,95.7025,20,3197
2022-10-25,95.71,95.71,95.7075,95.7075,3,3194
2022-10-26,95.71,95.7425,95.71,95.7375,814,3335
2022-10-27,95.725,95.7525,95.725,95.7475,60,3394
2022-10-28,95.7375,95.7425,95.7375,95.7425,450,3774
2022-10-31,95.73,95.73,95.715,95.7175,371,3423
2022-11-01,95.7125,95.735,95.7075,95.7125,99,3481
2022-11-02,95.705,95.7425,95.705,95.715,95,3476
2022-11-03,95.7125,95.7125,95.7,95.7125,40,3501
2022-11-04,95.7275,95.7275,95.7275,95.7275,0,3501
2022-11-07,95.73,95.73,95.72,95.72,177,3324
2022-11-08,95.725,95.725,95.725,95.725,0,3324
2022-11-09,95.72,95.73,95.72,95.73,2,3324
2022-11-10,95.79,95.79,95.7825,95.785,973,3401
2022-11-11,95.785,95.7875,95.785,95.785,62,3344
2022-11-14,95.7825,95.7825,95.775,95.78,888,2795
2022-11-15,95.78,95.785,95.7775,95.7775,300,2895
2022-11-16,95.7775,95.7775,95.7775,95.7775,0,2895
2022-11-17,95.775,95.775,95.775,95.775,0,2895
2022-11-18,95.765,95.765,95.765,95.765,0,2895
2022-11-21,95.76,95.76,95.76,95.76,0,2895
2022-11-22,95.7475,95.7475,95.7475,95.7475,0,2895
2022-11-23,95.7475,95.7475,95.7475,95.7475,0,2895
2022-11-25,95.7475,95.75,95.7475,95.75,5,2895
2022-11-28,95.7525,95.7525,95.7525,95.7525,0,2895
2022-11-29,95.755,95.755,95.755,95.755,0,2895
2022-11-30,95.76,95.76,95.755,95.755,1,2895
2022-12-01,95.7625,95.7625,95.7625,95.7625,0,2895
2022-12-02,95.765,95.765,95.765,95.765,0,2895
2022-12-05,95.765,95.765,95.765,95.765,0,2895
2022-12-06,95.77,95.77,95.77,95.77,0,2895
2022-12-07,95.77,95.77,95.77,95.77,0,2895
2022-12-08,95.7675,95.7675,95.7675,95.7675,0,2895
2022-12-09,95.7675,95.7675,95.7675,95.7675,0,2895
2022-12-12,95.7675,95.7675,95.7625,95.7625,99,2796
2022-12-13,95.77,95.7725,95.77,95.7725,40,2756
2022-12-14,95.775,95.775,95.775,95.775,0,2756
2022-12-15,95.78,95.78,95.78,95.78,0,2756
2022-12-16,95.78,95.78,95.78,95.78,0,2756
2022-12-19,95.7775,95.7775,95.7775,95.7775,0,2756
2022-12-20,95.7775,95.78,95.7775,95.7775,175,2581
2022-12-21,95.7775,95.7825,95.7775,95.7825,298,2581
2022-12-22,95.7775,95.7775,95.7775,95.7775,0,2581
2022-12-23,95.775,95.775,95.775,95.775,0,2581
2022-12-27,95.775,95.775,95.775,95.775,0,2581
2022-12-28,95.775,95.775,95.775,95.775,0,2581
2022-12-29,95.775,95.775,95.775,95.775,8,2581
2022-12-30,95.7775,95.7775,95.7775,95.7775,0,2581
2023-01-03,95.7775,95.7775,95.7775,95.7775,0,2581
2023-01-04,95.7775,95.7775,95.7775,95.7775,0,2581
2023-01-05,95.775,95.775,95.775,95.775,0,2581
2023-01-06,95.7775,95.7775,95.7775,95.7775,50,2531
2023-01-09,95.7775,95.7775,95.7775,95.7775,0,2531
2023-01-10,95.7775,95.7775,95.7775,95.7775,0,2531
2023-01-11,95.7775,95.7775,95.7775,95.7775,0,2531
