datetime,open,high,low,close,volume,position
2025-07-14,96.205,96.205,96.205,96.205,0,0
2025-07-15,96.145,96.145,96.145,96.145,0,0
2025-07-16,96.185,96.185,96.185,96.185,0,0
2025-07-17,96.17,96.17,96.17,96.17,0,0
2025-07-18,96.2,96.2,96.2,96.2,0,0
2025-07-21,96.205,96.205,96.205,96.205,0,0
2025-07-22,96.215,96.215,96.215,96.215,0,0
2025-07-23,96.195,96.195,96.195,96.195,0,0
2025-07-24,96.17,96.17,96.16,96.16,1,1
2025-07-25,96.175,96.175,96.175,96.175,0,1
2025-07-28,96.17,96.17,96.17,96.17,0,1
2025-07-29,96.195,96.195,96.195,96.195,0,1
2025-07-30,96.115,96.115,96.115,96.115,0,1
2025-07-31,96.06,96.06,96.06,96.06,0,1
2025-08-01,96.35,96.35,96.35,96.35,0,1
2025-08-04,96.38,96.38,96.38,96.38,0,1
2025-08-05,96.34,96.34,96.34,96.34,0,1
2025-08-06,96.375,96.375,96.375,96.375,0,1
2025-08-07,96.35,96.35,96.35,96.35,0,1
2025-08-08,96.35,96.35,96.335,96.335,50,51
2025-08-11,96.335,96.335,96.335,96.335,0,51
2025-08-12,96.365,96.37,96.35,96.365,102,47
2025-08-13,96.4,96.4,96.4,96.4,0,47
2025-08-14,96.405,96.405,96.335,96.335,16,63
2025-08-15,96.3,96.3,96.3,96.3,0,63
2025-08-18,96.29,96.29,96.29,96.29,0,63
2025-08-19,96.275,96.305,96.275,96.305,200,94
2025-08-20,96.305,96.305,96.305,96.305,0,94
2025-08-21,96.245,96.245,96.235,96.235,2,94
2025-08-22,96.335,96.345,96.335,96.335,6,94
2025-08-25,96.3,96.3,96.3,96.3,0,94
2025-08-26,96.325,96.335,96.32,96.325,257,351
2025-08-27,96.325,96.335,96.325,96.335,2,350
2025-08-28,96.33,96.33,96.315,96.315,21,371
2025-08-29,96.31,96.33,96.31,96.33,8,363
2025-09-02,96.315,96.315,96.31,96.315,276,556
2025-09-03,96.345,96.345,96.345,96.345,0,556
2025-09-04,96.365,96.365,96.365,96.365,0,556
2025-09-05,96.485,96.485,96.47,96.47,8,564
2025-09-08,96.485,96.495,96.48,96.49,110,668
2025-09-09,96.44,96.44,96.44,96.44,0,668
2025-09-10,96.43,96.455,96.43,96.455,20,684
2025-09-11,96.495,96.495,96.495,96.495,0,684
2025-09-12,96.47,96.475,96.47,96.47,150,786
2025-09-15,96.45,96.45,96.45,96.45,0,786
2025-09-16,96.465,96.465,96.465,96.465,0,786
2025-09-17,96.52,96.52,96.465,96.465,7,793
2025-09-18,96.455,96.455,96.455,96.455,0,793
2025-09-19,96.435,96.445,96.435,96.445,10,793
2025-09-22,96.415,96.42,96.41,96.42,190,865
2025-09-23,96.425,96.425,96.425,96.425,0,865
2025-09-24,96.415,96.415,96.405,96.405,182,1047
2025-09-25,96.375,96.375,96.335,96.335,52,997
