date,spread_bp,ten_y,two_y
2025-03-27,36.5,4.361,3.996
2025-03-28,33.9,4.251,3.912
2025-03-31,32.4,4.211,3.887
2025-04-01,28.6,4.161,3.875
2025-04-02,28.5,4.127,3.842
2025-04-03,34.2,4.038,3.696
2025-04-04,35.6,4.0,3.644
2025-04-07,41.5,4.203,3.788
2025-04-08,56.1,4.291,3.73
2025-04-09,41.4,4.328,3.914
2025-04-10,56.3,4.425,3.862
2025-04-11,52.2,4.497,3.975
2025-04-14,53.1,4.384,3.853
2025-04-15,48.8,4.339,3.851
2025-04-16,50.5,4.281,3.776
2025-04-17,53.3,4.333,3.8
2025-04-21,64.8,4.417,3.769
2025-04-22,58.0,4.401,3.821
2025-04-23,51.6,4.385,3.869
2025-04-24,52.2,4.315,3.793
2025-04-25,49.9,4.255,3.756
2025-04-28,51.7,4.206,3.689
2025-04-29,51.6,4.172,3.656
2025-04-30,55.5,4.168,3.613
2025-05-01,51.9,4.216,3.697
2025-05-02,48.6,4.308,3.822
2025-05-05,50.8,4.349,3.841
2025-05-06,51.3,4.298,3.785
2025-05-07,48.6,4.269,3.783
2025-05-08,50.0,4.38,3.88
2025-05-09,49.3,4.382,3.889
2025-05-12,46.1,4.473,4.012
2025-05-13,46.9,4.471,4.002
2025-05-14,48.3,4.542,4.059
2025-05-15,47.7,4.431,3.954
2025-05-16,45.2,4.445,3.993
2025-05-19,47.7,4.449,3.972
2025-05-20,51.5,4.485,3.97
2025-05-21,57.5,4.597,4.022
2025-05-22,53.9,4.529,3.99
2025-05-23,51.6,4.509,3.993
2025-05-27,47.1,4.448,3.977
2025-05-28,48.3,4.475,3.992
2025-05-29,48.7,4.426,3.939
2025-05-30,49.8,4.398,3.9
2025-06-02,50.3,4.442,3.939
2025-06-03,50.1,4.458,3.957
2025-06-04,48.8,4.357,3.869
2025-06-05,47.1,4.391,3.92
2025-06-06,47.1,4.508,4.037
2025-06-09,47.1,4.476,4.005
2025-06-10,45.0,4.474,4.024
2025-06-11,46.9,4.42,3.951
2025-06-12,45.3,4.365,3.912
2025-06-13,45.9,4.409,3.95
2025-06-16,47.7,4.45,3.973
2025-06-17,44.1,4.387,3.946
2025-06-18,45.2,4.391,3.939
2025-06-20,47.1,4.377,3.906
2025-06-23,47.9,4.342,3.863
2025-06-24,47.5,4.296,3.821
2025-06-25,51.0,4.291,3.781
2025-06-26,52.7,4.246,3.719
2025-06-27,52.9,4.275,3.746
2025-06-30,50.5,4.232,3.727
2025-07-01,47.0,4.242,3.772
2025-07-02,49.2,4.283,3.791
2025-07-03,46.2,4.348,3.886
2025-07-07,48.6,4.383,3.897
2025-07-08,50.6,4.403,3.897
2025-07-09,48.7,4.336,3.849
2025-07-10,47.8,4.35,3.872
2025-07-11,52.4,4.417,3.893
2025-07-14,53.3,4.437,3.904
2025-07-15,53.7,4.491,3.954
2025-07-16,56.5,4.459,3.894
2025-07-17,54.8,4.455,3.907
2025-07-18,55.1,4.42,3.869
2025-07-21,51.9,4.38,3.861
2025-07-22,51.5,4.348,3.833
2025-07-23,50.0,4.384,3.884
2025-07-24,48.4,4.4,3.916
2025-07-25,46.5,4.386,3.921
2025-07-28,48.4,4.414,3.93
2025-07-29,45.5,4.324,3.869
2025-07-30,42.9,4.372,3.943
2025-07-31,42.1,4.382,3.961
2025-08-01,53.6,4.216,3.68
2025-08-04,51.5,4.194,3.679
2025-08-05,48.2,4.208,3.726
2025-08-06,51.8,4.232,3.714
2025-08-07,52.4,4.248,3.724
2025-08-08,52.3,4.285,3.762
2025-08-11,51.3,4.279,3.766
2025-08-12,55.6,4.289,3.733
2025-08-13,55.7,4.236,3.679
2025-08-14,55.4,4.289,3.735
2025-08-15,56.7,4.322,3.755
2025-08-18,56.6,4.335,3.769
2025-08-19,55.6,4.31,3.754
2025-08-20,53.9,4.291,3.752
2025-08-21,53.8,4.328,3.79
2025-08-22,55.8,4.256,3.698
2025-08-25,55.3,4.277,3.724
2025-08-26,58.2,4.265,3.683
2025-08-27,62.3,4.238,3.615
2025-08-28,57.2,4.205,3.633
2025-08-29,61.1,4.232,3.621
2025-09-02,62.4,4.265,3.641
2025-09-03,59.8,4.217,3.619
2025-09-04,56.9,4.161,3.592
2025-09-05,56.7,4.076,3.509
2025-09-08,55.2,4.042,3.49
2025-09-09,53.0,4.086,3.556
2025-09-10,50.1,4.045,3.544
2025-09-11,48.2,4.026,3.544
2025-09-12,50.6,4.068,3.562
2025-09-15,50.1,4.038,3.537
2025-09-16,52.2,4.032,3.51
2025-09-17,53.4,4.087,3.553
2025-09-18,53.8,4.11,3.572
2025-09-19,55.9,4.133,3.574
2025-09-22,54.2,4.147,3.605
2025-09-23,51.8,4.106,3.588
2025-09-24,54.3,4.149,3.606
2025-09-25,51.5,4.176,3.661
2025-09-26,53.1,4.174,3.643
2025-09-29,51.6,4.141,3.625
2025-09-30,53.7,4.154,3.617
2025-10-01,56.5,4.1,3.535
2025-10-02,54.4,4.085,3.541
2025-10-03,54.5,4.121,3.576
2025-10-06,56.6,4.158,3.592
2025-10-07,55.5,4.125,3.57
2025-10-08,53.9,4.123,3.584
2025-10-09,54.3,4.142,3.599
2025-10-10,52.8,4.059,3.531
2025-10-14,54.7,4.032,3.485
2025-10-15,53.1,4.028,3.497
2025-10-16,55.3,3.975,3.422
2025-10-17,54.7,4.011,3.464
2025-10-20,52.3,3.982,3.459
2025-10-21,51.0,3.965,3.455
2025-10-22,50.6,3.953,3.447
2025-10-23,51.0,4.003,3.493
2025-10-24,51.9,4.003,3.484
