contract,tenor_index,impl_rate_2026_06_16_pct,impl_rate_2026_06_17_open_pct,impl_rate_2026_06_17_close_pct,pre_open_change_bp,open_to_close_change_bp,fomc_day_close_to_close_bp,intraday_rate_low_pct,intraday_rate_high_pct,intraday_range_bp,volume_2026_06_17,volume_vs_20d_median_x
SR3_M26,0,3.667500000000004,3.667500000000004,3.700000000000003,0.0,3.2499999999998863,3.2499999999998863,3.667500000000004,3.7224999999999966,5.499999999999261,433019,0.9819013810641938
SR3_U26,1,3.760000000000005,3.7650000000000006,3.864999999999995,0.49999999999954525,9.999999999999432,10.499999999998977,3.760000000000005,3.930000000000007,17.00000000000017,1178418,2.627230570294734
SR3_Z26,2,3.885000000000005,3.894999999999996,4.034999999999997,0.9999999999990905,14.000000000000057,14.999999999999147,3.8799999999999955,4.109999999999999,23.000000000000398,1308965,2.317508991874338
SR3_H27,3,3.9399999999999977,3.9549999999999983,4.094999999999999,1.5000000000000568,14.000000000000057,15.500000000000114,3.9350000000000023,4.165000000000006,23.000000000000398,889178,2.0030433857046472
SR3_M27,4,3.9399999999999977,3.9549999999999983,4.079999999999998,1.5000000000000568,12.5,14.000000000000057,3.9350000000000023,4.144999999999996,20.999999999999375,831979,1.906488066389623
SR3_U27,5,3.9150000000000063,3.9350000000000023,4.034999999999997,1.999999999999602,9.999999999999432,11.999999999999034,3.9099999999999966,4.094999999999999,18.500000000000227,542054,1.8500199659384502
SR3_Z27,6,3.8700000000000045,3.885000000000005,3.9749999999999943,1.5000000000000568,8.99999999999892,10.499999999998977,3.8599999999999994,4.025000000000006,16.500000000000625,615114,1.96447670770012
SR3_H28,7,3.825000000000003,3.8400000000000034,3.9150000000000063,1.5000000000000568,7.500000000000284,9.000000000000341,3.8149999999999977,3.969999999999999,15.500000000000114,379537,1.6118137188285655
SR3_M28,8,3.799999999999997,3.8149999999999977,3.8799999999999955,1.5000000000000568,6.499999999999773,7.9999999999998295,3.7900000000000063,3.9350000000000023,14.499999999999602,322418,1.9238957908178487
SR3_Z28,9,3.7849999999999966,3.799999999999997,3.844999999999999,1.5000000000000568,4.5000000000001705,6.000000000000227,3.780000000000001,3.894999999999996,11.499999999999488,178682,1.4038773545992025
SR3_H29,10,3.7900000000000063,3.799999999999997,3.8400000000000034,0.9999999999990905,4.000000000000625,4.999999999999716,3.7849999999999966,3.8900000000000006,10.500000000000398,130486,1.1842446794028225
SR3_M29,11,3.7950000000000017,3.805000000000007,3.8400000000000034,1.0000000000005116,3.499999999999659,4.5000000000001705,3.7900000000000063,3.8900000000000006,9.999999999999432,146488,2.0622237238505505
SR3_Z29,12,3.825000000000003,3.8349999999999937,3.8599999999999994,0.9999999999990905,2.5000000000005684,3.499999999999659,3.819999999999993,3.9099999999999966,9.000000000000341,92131,1.8604993992265673
